#name_not_found:= FunctionWrap:: set=<bound method lakeshore_370_wrapper_class.set_T of LakeShore = <"lakeshore_370_wrapper_class(ASRL1)" instrument at 0x0d7dfb00>>, get=<bound method lakeshore_370_wrapper_class.get_T of LakeShore = <"lakeshore_370_wrapper_class(ASRL1)" instrument at 0x0d7dfb00>>, check=None, getformat=None, user_ret_as_cache=False; ::other_options={};
#record options:= {'async': False, 'interval': 5};
#time	name_not_found
1576781697.688	0.0200148
1576781703.056	0.019995
1576781708.414	0.0199571
1576781713.748	0.0199022
1576781719.098	0.0198563
1576781724.452	0.019811
1576781729.803	0.0197469
1576781735.161	0.0196875
1576781740.514	0.0196196
1576781745.891	0.019545
1576781751.234	0.019461
1576781756.574	0.0193681
1576781761.924	0.0192944
1576781767.271	0.0192109
1576781772.649	0.0191192
1576781778.004	0.0190331
1576781783.358	0.0189364
1576781788.722	0.0188457
1576781794.086	0.0187482
1576781799.429	0.0186552
1576781804.794	0.0185538
1576781810.145	0.0184792
1576781815.513	0.0183632
1576781820.888	0.0182765
1576781826.28	0.0181768
1576781831.658	0.0180752
1576781837.035	0.0179886
1576781842.382	0.0179009
1576781847.717	0.0178001
1576781853.052	0.0177209
1576781858.393	0.0176407
1576781863.731	0.0175422
1576781869.079	0.0174426
1576781874.417	0.017349
1576781879.758	0.0172785
1576781885.104	0.017173
1576781890.443	0.0170952
1576781895.786	0.0170088
1576781901.134	0.0169178
1576781906.5	0.0168287
1576781911.865	0.0167415
1576781917.231	0.0166699
1576781922.582	0.0165945
1576781927.947	0.0165116
1576781933.302	0.0164162
1576781938.667	0.0163388
1576781944.041	0.0162556
1576781949.404	0.0161729
1576781954.786	0.016104
1576781960.148	0.0160187
1576781965.528	0.0159453
1576781970.893	0.0158739
1576781976.228	0.0157995
1576781981.57	0.0157281
1576781986.894	0.0156614
1576781992.225	0.0155841
1576781997.557	0.015507
1576782002.895	0.0154494
1576782008.235	0.015375
1576782013.576	0.015316
1576782018.919	0.0152398
1576782024.257	0.01519
1576782029.6	0.015116
1576782034.941	0.0150473
1576782040.279	0.0149863
1576782045.622	0.014907
1576782050.962	0.0148541
1576782056.302	0.0148024
1576782061.638	0.01473
1576782066.98	0.0146729
1576782072.328	0.0146171
1576782077.678	0.0145546
1576782083.013	0.0144853
1576782088.362	0.0144387
1576782093.711	0.0144021
1576782099.053	0.01433
1576782104.392	0.0142575
1576782109.743	0.0142079
1576782115.087	0.0141644
1576782120.444	0.0141025
1576782125.787	0.0140551
1576782131.133	0.0139969
1576782136.478	0.0139439
1576782141.82	0.0138906
1576782147.177	0.0138452
1576782152.521	0.0137965
1576782157.865	0.0137426
1576782163.228	0.0136895
1576782168.577	0.0136739
1576782173.939	0.0136412
1576782179.285	0.0135448
1576782184.648	0.0134986
1576782190.004	0.0134495
1576782195.365	0.0134018
1576782200.728	0.0133574
1576782206.079	0.0133075
1576782211.429	0.0132743
1576782216.779	0.0132237
1576782222.133	0.0131671
1576782227.497	0.0131383
1576782232.868	0.0130859
1576782238.238	0.0130428
1576782243.608	0.0130014
1576782248.977	0.0129599
1576782254.349	0.0129211
1576782259.722	0.0128701
1576782265.089	0.0128362
1576782270.464	0.0127907
1576782275.827	0.0127521
1576782281.208	0.0127091
1576782286.574	0.012675
1576782291.944	0.0126384
1576782297.312	0.0125942
1576782302.684	0.0125539
1576782308.016	0.0125229
1576782313.351	0.0124741
1576782318.672	0.0124413
1576782324.006	0.0124073
1576782329.339	0.0123636
1576782334.666	0.0123269
1576782339.998	0.0122986
1576782345.335	0.0122607
1576782350.671	0.0122283
1576782356.008	0.0121796
1576782361.333	0.0121496
1576782366.664	0.0121239
1576782371.987	0.0120883
1576782377.315	0.0120447
1576782382.658	0.0120217
